step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,456,8,0.4066437048307567,0.0,0.37142857142857144,0.3322904974948851,0.0,0.45454545454545453,,,,,,
2,976,16,0.3531676876351125,0.0,0.4444444444444444,,,,,,,,,
3,1560,24,0.2927295726745911,0.0,0.47368421052631576,,,,,,,,,
4,2080,32,0.24011174079273884,0.0,0.6857142857142857,,,,,,,,,
5,2536,40,0.22591285665272462,0.0,0.6857142857142857,,,,,,,,,
6,2928,48,0.21709982577117634,0.0,0.6666666666666666,,,,,,,,,
7,3448,56,0.08665006979014635,0.5,0.8918918918918919,,,,,,,,,
8,3840,64,0.10564297555928609,0.125,0.7142857142857143,,,,,,,,,
9,4360,72,0.04832776877569529,0.625,0.9166666666666666,0.05031546186558046,0.625,0.9166666666666666,,,,,,
10,4816,80,0.060220186449417956,0.625,0.9210526315789473,,,,,,,,,
11,5336,88,0.08230041658911504,0.375,0.8571428571428571,,,,,,,,,
12,5856,96,0.04610372047612946,0.75,0.9444444444444444,,,,,,,,,
13,6376,104,0.057830678435639146,0.625,0.9210526315789473,,,,,,,,,
14,6896,112,0.030896655947069182,0.75,0.9444444444444444,,,,,,,,,
15,7416,120,0.0351392689805925,1.0,1.0,,,,,,,,,
16,7936,128,0.0365804478073602,1.0,1.0,,,,,,,,,
17,8456,136,0.04370550798533862,0.75,0.9487179487179487,0.03067501250028788,1.0,1.0,,,,,,
18,8912,144,0.04639651063585583,0.625,0.9166666666666666,,,,,,,,,
19,9432,152,0.041360938684529724,0.875,0.9722222222222222,,,,,,,,,
20,9888,160,0.056424372420399944,0.625,0.918918918918919,,,,,,,,,
21,10344,168,0.03512930844595218,0.875,0.9722222222222222,,,,,,,,,
22,10800,176,0.03857485469345612,1.0,1.0,,,,,,,,,
23,11320,184,0.044957662127116396,0.5,0.8857142857142857,,,,,,,,,
24,11712,192,0.04101998518118962,0.75,0.9444444444444444,,,,,,,,,
25,12104,200,0.052383426172552906,0.75,0.9444444444444444,0.030144836950560906,1.0,1.0,,,,,,
26,12624,208,0.02922425332699117,1.0,1.0,,,,,,,,,
27,13080,216,0.03534854657223235,1.0,1.0,,,,,,,,,
28,13472,224,0.03444496294277197,1.0,1.0,,,,,,,,,
29,13992,232,0.030415977742069562,1.0,1.0,,,,,,,,,
30,14448,240,0.030900165439086767,0.875,0.9714285714285714,,,,,,,,,
31,14968,248,0.030538291042124827,1.0,1.0,,,,,,,,,
32,15616,256,0.025116780549908214,0.875,0.9722222222222222,,,,,,,,,
33,16136,264,0.023332321227487473,1.0,1.0,0.0378773670470743,1.0,1.0,,,,,,
34,16592,272,0.03512041243357048,1.0,1.0,,,,,,,,,
35,17176,280,0.029513043652893884,1.0,1.0,,,,,,,,,
36,17632,288,0.029596717373303955,1.0,1.0,,,,,,,,,
37,18152,296,0.02705719464397109,0.875,0.9714285714285714,,,,,,,,,
38,18608,304,0.024734390549621243,0.875,0.9714285714285714,,,,,,,,,
39,19064,312,0.032031789014541345,1.0,1.0,,,,,,,,,
40,19520,320,0.03546263056198116,1.0,1.0,,,,,,,,,
41,20040,328,0.032140976161802365,1.0,1.0,0.032926667357183546,0.875,0.9736842105263158,,,,,,
42,20560,336,0.029048601864691586,1.0,1.0,,,,,,,,,
43,21016,344,0.030608479486464703,1.0,1.0,,,,,,,,,
44,21536,352,0.028526733987292885,1.0,1.0,,,,,,,,,
